CHARACTER Main
SOUND_SHOUT assets/music/damage_hit.wav
HEIGHT 35
WIDTH 20
HEALTH 5
RANGE 1
IDLE assets/images/characters/player/idle/1.png
IDLE assets/images/characters/player/idle/1.png
IDLE assets/images/characters/player/idle/2.png
IDLE assets/images/characters/player/idle/2.png
IDLE assets/images/characters/player/idle/3.png
IDLE assets/images/characters/player/idle/3.png
IDLE assets/images/characters/player/idle/4.png
IDLE assets/images/characters/player/idle/4.png
IDLE assets/images/characters/player/idle/5.png
IDLE assets/images/characters/player/idle/5.png
IDLE assets/images/characters/player/idle/6.png
IDLE assets/images/characters/player/idle/6.png
IDLE assets/images/characters/player/idle/7.png
IDLE assets/images/characters/player/idle/7.png
IDLE assets/images/characters/player/idle/8.png
IDLE assets/images/characters/player/idle/8.png
IDLE assets/images/characters/player/idle/9.png
IDLE assets/images/characters/player/idle/9.png
IDLE assets/images/characters/player/idle/10.png
IDLE assets/images/characters/player/idle/10.png
IDLE assets/images/characters/player/idle/11.png
IDLE assets/images/characters/player/idle/11.png
IDLE assets/images/characters/player/idle/12.png
IDLE assets/images/characters/player/idle/12.png
RUNNING assets/images/characters/player/running/0.png
RUNNING assets/images/characters/player/running/0.png
RUNNING assets/images/characters/player/running/1.png
RUNNING assets/images/characters/player/running/1.png
RUNNING assets/images/characters/player/running/2.png
RUNNING assets/images/characters/player/running/2.png
RUNNING assets/images/characters/player/running/3.png
RUNNING assets/images/characters/player/running/3.png
RUNNING assets/images/characters/player/running/4.png
RUNNING assets/images/characters/player/running/4.png
RUNNING assets/images/characters/player/running/5.png
RUNNING assets/images/characters/player/running/5.png
RUNNING assets/images/characters/player/running/6.png
RUNNING assets/images/characters/player/running/6.png
RUNNING assets/images/characters/player/running/7.png
RUNNING assets/images/characters/player/running/7.png
DYING assets/images/characters/skeleton/dying/1.gif
ATTACK assets/images/characters/skeleton/attack/1.gif
FALLING assets/images/characters/player/falling/1.gif
FALLING assets/images/characters/player/falling/2.gif
JUMPING assets/images/characters/player/jumping/1.png

